1600
1 0.000025 0.0003760.000025 0.000376
2 0.000029 0.0001090.000048 0.000262
3 0.000031 0.0000700.000071 0.000209
4 0.000031 0.0000400.000095 0.000169
5 0.000031 0.0000250.000118 0.000138
6 0.000031 0.0000160.000143 0.000114
7 0.000031 0.0000110.000167 0.000097
8 0.000031 0.0000060.000191 0.000084
9 0.000031 0.0000030.000216 0.000075
10 0.000031 -0.0000000.000240 0.000068
11 0.000031 -0.0000030.000265 0.000062
12 0.000031 -0.0000050.000290 0.000058
13 0.000031 -0.0000070.000315 0.000054
14 0.000031 -0.0000090.000339 0.000052
15 0.000031 -0.0000100.000364 0.000050
16 0.000031 -0.0000110.000389 0.000049
17 0.000031 -0.0000120.000414 0.000048
18 0.000031 -0.0000130.000439 0.000047
19 0.000031 -0.0000140.000464 0.000048
20 0.000031 -0.0000140.000488 0.000048
21 0.000031 -0.0000140.000513 0.000049
22 0.000031 -0.0000140.000538 0.000050
23 0.000031 -0.0000140.000563 0.000052
24 0.000031 -0.0000130.000588 0.000054
25 0.000031 -0.0000120.000613 0.000056
26 0.000031 -0.0000110.000638 0.000059
27 0.000031 -0.0000100.000663 0.000062
28 0.000031 -0.0000090.000688 0.000065
29 0.000031 -0.0000070.000712 0.000069
30 0.000032 -0.0000050.000737 0.000073
31 0.000032 -0.0000030.000762 0.000077
32 0.000032 -0.0000010.000787 0.000082
33 0.000032 0.0000020.000812 0.000087
34 0.000032 0.0000060.000837 0.000092
35 0.000032 0.0000110.000861 0.000096
36 0.000033 0.0000180.000886 0.000098
37 0.000033 0.0000290.000910 0.000097
38 0.000034 0.0000510.000933 0.000094
39 0.000035 0.0000160.000956 0.000137
40 0.000044 0.0003220.000970 -0.000029
41 0.000048 0.0002610.000029 0.000109
42 0.000051 0.0002240.000051 0.000226
43 0.000054 0.0001790.000075 0.000205
44 0.000055 0.0001340.000098 0.000194
45 0.000055 0.0001010.000122 0.000173
46 0.000055 0.0000770.000146 0.000153
47 0.000055 0.0000590.000170 0.000135
48 0.000055 0.0000460.000194 0.000121
49 0.000055 0.0000350.000218 0.000109
50 0.000055 0.0000260.000242 0.000099
51 0.000055 0.0000180.000267 0.000091
52 0.000055 0.0000120.000291 0.000084
53 0.000055 0.0000060.000316 0.000079
54 0.000055 0.0000010.000341 0.000075
55 0.000055 -0.0000020.000365 0.000072
56 0.000055 -0.0000060.000390 0.000070
57 0.000055 -0.0000080.000415 0.000069
58 0.000055 -0.0000100.000439 0.000068
59 0.000055 -0.0000120.000464 0.000067
60 0.000055 -0.0000130.000489 0.000068
61 0.000055 -0.0000130.000514 0.000068
62 0.000055 -0.0000130.000538 0.000069
63 0.000055 -0.0000120.000563 0.000071
64 0.000055 -0.0000100.000588 0.000073
65 0.000055 -0.0000080.000613 0.000075
66 0.000055 -0.0000060.000638 0.000078
67 0.000056 -0.0000030.000662 0.000081
68 0.000056 0.0000010.000687 0.000085
69 0.000056 0.0000050.000712 0.000088
70 0.000056 0.0000090.000737 0.000092
71 0.000056 0.0000150.000762 0.000096
72 0.000056 0.0000210.000786 0.000100
73 0.000057 0.0000290.000811 0.000104
74 0.000057 0.0000390.000835 0.000106
